bestellnummer;lieferant_plz;lieferant_ort;lieferant_land;empfaenger;empfaenger_plz;empfaenger_ort;empfaenger_land;incoterm;incoterms_ort;termin_lieferant;termin_empfaenger;bb_name
0015810430;250001;Jinan;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Qingdao;26.08.2021 00:00;20.10.2021 00:00;WOHNDEKORATION
0040089474;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;07.03.2022 00:00;24.04.2022 00:00;OUTDOOR HW
0040089474;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;07.03.2022 00:00;24.04.2022 00:00;OUTDOOR HW
0040094469;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;08.07.2022 00:00;15.08.2022 00:00;TISCH
0015625754;560001;Bangalore;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;20.02.2021 00:00;08.04.2021 00:00;WOHNTEXTILIEN
0045849904;315800;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;19.03.2021 00:00;06.05.2021 00:00;TIERWELT
0015617001;201308;Greater Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;31.03.2021 00:00;04.05.2021 00:00;KINDERMOEBEL/-TEXTILIEN
0015626970;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Kaohsiung;;01.06.2021 00:00;KÜCHE/TISCH
0015626970;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Kaohsiung;;01.06.2021 00:00;KÜCHE/TISCH
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015618488;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015622898;641604;Tirupur;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;04.08.2021 00:00;27.09.2021 00:00;WÄSCHE
0015622898;641604;Tirupur;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;04.08.2021 00:00;27.09.2021 00:00;WÄSCHE
0015631752;;Cheung Sha Wan, Kowloon;HK;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Yantian;11.09.2021 00:00;25.10.2021 00:00;WÄSCHE
0015631753;;Kwai Chung;HK;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Hong Kong;03.08.2021 00:00;27.09.2021 00:00;WÄSCHE
0015631754;;Kwai Chung;HK;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Hong Kong;14.09.2021 00:00;01.11.2021 00:00;WÄSCHE
0015647055;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Taichung;18.04.2021 00:00;04.06.2021 00:00;WOHNMÖBEL
0015647055;106;Taipei;TW;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Taichung;18.04.2021 00:00;04.06.2021 00:00;WOHNMÖBEL
0045781169;SL5 9F;Ascot;GB;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Surabaya;29.11.2020 00:00;20.01.2021 00:00;KONSERVEN/ETHNIC
0015661471;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015661472;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015661474;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015625891;560001;Bangalore;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;19.03.2021 00:00;05.05.2021 00:00;BAD TEXTILIEN
0015625891;560001;Bangalore;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;19.03.2021 00:00;05.05.2021 00:00;BAD TEXTILIEN
0015659852;6850;Dornbirn;AT;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;11.05.2021 00:00;01.07.2021 00:00;KÜCHE/TISCH
0045855546;74000;Samut Sakhon;TH;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KONSERVEN/ETHNIC
0015643426;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015643426;641603;Tirupur, Tamil Nadu;IN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Tuticorin;18.08.2021 00:00;04.10.2021 00:00;WÄSCHE
0015643497;201308;Greater Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;07.05.2021 00:00;10.06.2021 00:00;KINDERMOEBEL/-TEXTILIEN
0015661461;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0015661464;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.06.2021 00:00;28.07.2021 00:00;KOCHEN
0040086078;46499;Hamminkeln;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;05.02.2021 00:00;24.03.2021 00:00;WOHNTEXTILIEN
0040086078;46499;Hamminkeln;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;05.02.2021 00:00;24.03.2021 00:00;WOHNTEXTILIEN
0040086078;46499;Hamminkeln;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;05.02.2021 00:00;24.03.2021 00:00;WOHNTEXTILIEN
0015612129;069116;Singapore;SG;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Fuzhou;20.02.2021 00:00;12.04.2021 00:00;POLSTERMÖBEL
0015637915;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015637915;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015647781;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015640542;8156;Oberhasli;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;01.02.2021 00:00;17.03.2021 00:00;GRILLGERAETE UND ZUBEHÖR
0040087898;852;Tsimshatsui, Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Hong Kong;12.08.2021 00:00;29.09.2021 00:00;SPIELWAREN
0040087898;852;Tsimshatsui, Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Hong Kong;12.08.2021 00:00;29.09.2021 00:00;SPIELWAREN
0015706932;;Hong Kong;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;19.06.2021 00:00;09.08.2021 00:00;POLSTERMÖBEL
0015637915;310051;Hangzhou, Binjiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015647785;310012;Hangzhou, Zhejiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015647785;310012;Hangzhou, Zhejiang;CN;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Shanghai;15.06.2021 00:00;09.08.2021 00:00;REISEARTIKEL/ACCESSOIRES
0045852994;13052;Virú, La Libertad;PE;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Callao;23.01.2021 00:00;05.03.2021 00:00;KONSERVEN/ETHNIC
0045852994;13052;Virú, La Libertad;PE;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Callao;23.01.2021 00:00;05.03.2021 00:00;KONSERVEN/ETHNIC
0045851030;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;22.03.2021 00:00;29.04.2021 00:00;TIERWELT
0015624621;7500;Holstebro;DK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;19.03.2021 00:00;06.05.2021 00:00;ARBEITEN
0015624621;7500;Holstebro;DK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;19.03.2021 00:00;06.05.2021 00:00;ARBEITEN
0045852025;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852026;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852027;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852028;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852028;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852029;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852030;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0045852031;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.01.2021 00:00;14.03.2021 00:00;TK-HOUSE
0015740785;22143;Hamburg;DE;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Shanghai;04.05.2021 00:00;28.06.2021 00:00;REISEARTIKEL/ACCESSOIRES
0015701454;528425;Zhongshan;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Xiaolan;30.07.2021 00:00;15.09.2021 00:00;KÜCHE
0015616985;315800;Beilun Ningbo;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ningbo;16.01.2021 00:00;05.03.2021 00:00;SPEZIALGESCHÄFTE MARKOM.
0015616985;315800;Beilun Ningbo;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ningbo;16.01.2021 00:00;05.03.2021 00:00;SPEZIALGESCHÄFTE MARKOM.
0015616985;315800;Beilun Ningbo;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ningbo;16.01.2021 00:00;05.03.2021 00:00;SPEZIALGESCHÄFTE MARKOM.
0045851903;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;27.03.2021 00:00;04.05.2021 00:00;TIERWELT
0045852892;688537;Eramalloor;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Cochin;14.02.2021 00:00;26.03.2021 00:00;TK-HOUSE
0045852893;688537;Eramalloor;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Cochin;14.02.2021 00:00;26.03.2021 00:00;TK-HOUSE
0045852928;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;27.03.2021 00:00;14.05.2021 00:00;TIERWELT
0045852817;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;03.04.2021 00:00;11.05.2021 00:00;TIERWELT
0045852817;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;03.04.2021 00:00;11.05.2021 00:00;TIERWELT
0045852817;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;03.04.2021 00:00;11.05.2021 00:00;TIERWELT
0045857115;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;16.04.2021 00:00;03.06.2021 00:00;TIERWELT
0045852757;765060;Vitacura - Santiago;CL;MVN NEUENDORF AG TK;4623;NEUENDORF;CH;FOB;San Antonio;16.02.2021 00:00;02.04.2021 00:00;TK-HOUSE
0015722205;519000;Zhuhai;CN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Yantian;31.07.2021 00:00;20.09.2021 00:00;KÜCHE/TISCH
0015676792;201301;Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;08.05.2021 00:00;01.07.2021 00:00;WOHNTEXTILIEN
0015676792;201301;Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;08.05.2021 00:00;01.07.2021 00:00;WOHNTEXTILIEN
0015676792;201301;Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;04.05.2021 00:00;01.07.2021 00:00;WOHNTEXTILIEN
0015676792;201301;Noida;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;04.05.2021 00:00;01.07.2021 00:00;WOHNTEXTILIEN
0015747126;6300;Zug;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ningbo;05.08.2021 00:00;28.09.2021 00:00;ELEKTROWERKZEUGE
0015747127;6300;Zug;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ningbo;30.07.2021 00:00;22.09.2021 00:00;ELEKTROWERKZEUGE
0045844251;641604;Tirupur;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Tuticorin;19.02.2021 00:00;07.04.2021 00:00;KOERPERHYGIENE
0045852117;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Xiamen;20.02.2021 00:00;10.04.2021 00:00;BABY HYGIENE
0045852117;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Xiamen;20.02.2021 00:00;10.04.2021 00:00;BABY HYGIENE
0045854477;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;19.04.2021 00:00;27.05.2021 00:00;TIERWELT
0045854968;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;17.04.2021 00:00;25.05.2021 00:00;TIERWELT
0045854968;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;17.04.2021 00:00;25.05.2021 00:00;TIERWELT
0045854968;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;17.04.2021 00:00;25.05.2021 00:00;TIERWELT
0045856831;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;24.04.2021 00:00;01.06.2021 00:00;TIERWELT
0045856945;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;23.04.2021 00:00;10.06.2021 00:00;TIERWELT
0045857344;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;01.05.2021 00:00;08.06.2021 00:00;TIERWELT
0045857344;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;01.05.2021 00:00;08.06.2021 00:00;TIERWELT
0045858916;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;08.05.2021 00:00;15.06.2021 00:00;TIERWELT
0045859219;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;23.04.2021 00:00;17.06.2021 00:00;TIERWELT
0045859697;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;15.05.2021 00:00;22.06.2021 00:00;TIERWELT
0045860407;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;30.04.2021 00:00;24.06.2021 00:00;TIERWELT
0045860786;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;22.05.2021 00:00;29.06.2021 00:00;TIERWELT
0045861693;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;24.05.2021 00:00;01.07.2021 00:00;TIERWELT
0045861793;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;29.05.2021 00:00;06.07.2021 00:00;TIERWELT
0045862730;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;15.05.2021 00:00;08.07.2021 00:00;TIERWELT
0045863426;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;20.05.2021 00:00;13.07.2021 00:00;TIERWELT
0045863654;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;07.06.2021 00:00;15.07.2021 00:00;TIERWELT
0045863890;315041;Ningbo;CN;M. VERTEILZENTRUM SUHR;5034;SUHR;CH;FOB;Ningbo;27.05.2021 00:00;20.07.2021 00:00;TIERWELT
0045852894;8180;Bülach;CH;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Ho Chi Minh City;28.02.2021 00:00;14.04.2021 00:00;TK-HOUSE
0015661459;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;02.05.2021 00:00;23.06.2021 00:00;KOCHEN
0015661460;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;02.05.2021 00:00;23.06.2021 00:00;KOCHEN
0015661463;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;02.05.2021 00:00;23.06.2021 00:00;KOCHEN
0015661468;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;02.05.2021 00:00;23.06.2021 00:00;KOCHEN
0015661469;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;02.05.2021 00:00;23.06.2021 00:00;KOCHEN
0015661470;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;02.05.2021 00:00;23.06.2021 00:00;KOCHEN
0015729316;244001;Moradabad;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;04.07.2021 00:00;19.08.2021 00:00;WOHNDEKORATION
0015729316;244001;Moradabad;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;04.07.2021 00:00;19.08.2021 00:00;WOHNDEKORATION
0015729316;244001;Moradabad;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;04.07.2021 00:00;19.08.2021 00:00;WOHNDEKORATION
0015732344;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015755499;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;04.09.2021 00:00;22.10.2021 00:00;KOCHEN
0015752237;45133;Essen;DE;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen;30.08.2021 00:00;18.10.2021 00:00;KINDER BEKLEIDUNG/ACC
0015752237;45133;Essen;DE;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen;30.08.2021 00:00;18.10.2021 00:00;KINDER BEKLEIDUNG/ACC
0015752237;45133;Essen;DE;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen;30.08.2021 00:00;18.10.2021 00:00;KINDER BEKLEIDUNG/ACC
0015752237;45133;Essen;DE;MVN NEUENDORF AG B1;8604;VOLKETSWIL;CH;FOB;Xiamen;30.08.2021 00:00;18.10.2021 00:00;KINDER BEKLEIDUNG/ACC
0015647057;221401;Bhadohi;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;23.04.2021 00:00;25.05.2021 00:00;TEPPICHE
0015647057;221401;Bhadohi;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;23.04.2021 00:00;25.05.2021 00:00;TEPPICHE
0015647057;221401;Bhadohi;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;23.04.2021 00:00;25.05.2021 00:00;TEPPICHE
0015647057;221401;Bhadohi;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;23.04.2021 00:00;25.05.2021 00:00;TEPPICHE
0015647057;221401;Bhadohi;IN;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Mumbai;23.04.2021 00:00;25.05.2021 00:00;TEPPICHE
0015732346;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;31.07.2021 00:00;24.09.2021 00:00;VERBRAUCH
0015732347;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732349;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;31.07.2021 00:00;24.09.2021 00:00;VERBRAUCH
0015732350;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732352;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;31.07.2021 00:00;24.09.2021 00:00;VERBRAUCH
0015732353;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732355;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;31.07.2021 00:00;24.09.2021 00:00;VERBRAUCH
0015732356;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732358;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;31.07.2021 00:00;24.09.2021 00:00;VERBRAUCH
0015732359;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732361;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;31.07.2021 00:00;24.09.2021 00:00;VERBRAUCH
0015732362;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732363;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;06.09.2021 00:00;24.10.2021 00:00;VERBRAUCH
0015732343;58000;Kuala Lumpur;MY;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Bangkok;30.07.2021 00:00;23.09.2021 00:00;VERBRAUCH
0015630426;0000;Kwun Tong, Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Hong Kong;20.04.2021 00:00;25.05.2021 00:00;KÜCHE/TISCH
0045852129;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Xiamen;03.03.2021 00:00;21.04.2021 00:00;BABY HYGIENE
0045852129;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Xiamen;03.03.2021 00:00;21.04.2021 00:00;BABY HYGIENE
0045852129;;Kowloon;HK;MVN NEUENDORF AG NF;4623;NEUENDORF;CH;FOB;Xiamen;03.03.2021 00:00;21.04.2021 00:00;BABY HYGIENE
